epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,1.0,0.0011179277207702398,,
0,99,1.0,0.00010854753782041371,,
0,149,1.0,6.632495205849409e-05,,
0,199,1.0,0.00036594780976884067,,
0,202,,,1.0,0.0004532108432613313
1,249,1.0,7.733574420853984e-06,,
1,299,1.0,2.6401547074783593e-05,,
1,349,1.0,2.159790528821759e-05,,
1,399,1.0,7.3536384661565535e-06,,
1,405,,,1.0,7.005358202150092e-05
2,449,1.0,2.49591766987578e-06,,
2,499,1.0,0.0018754205666482449,,
2,549,1.0,7.74098043621052e-06,,
2,599,1.0,3.099420155194821e-06,,
2,608,,,1.0,2.7583324481383897e-05
3,649,1.0,8.061258995439857e-06,,
3,699,1.0,1.1242585060244892e-05,,
3,749,1.0,5.192873686610255e-06,,
3,799,1.0,1.6167692820090451e-06,,
3,811,,,1.0,0.00015404951409436762
4,849,1.0,4.678894129028777e-06,,
4,899,1.0,8.493148015986662e-06,,
4,949,1.0,3.337790758450865e-06,,
4,999,1.0,0.00010620761167956516,,
4,1014,,,1.0,7.915606147435028e-06
5,1049,1.0,3.098018714808859e-05,,
5,1099,1.0,4.164842721365858e-06,,
5,1149,1.0,2.793937710521277e-06,,
5,1199,1.0,5.438915877675754e-07,,
5,1217,,,1.0,2.4351371394004673e-05
6,1249,1.0,1.3573721844295505e-05,,
6,1299,1.0,4.842871135224414e-07,,
6,1349,1.0,2.7417745513957925e-06,,
6,1399,1.0,2.3766913272993406e-06,,
6,1420,,,1.0,9.251975825463887e-06
7,1449,1.0,1.5256946426234208e-05,,
7,1499,1.0,1.3634509059556876e-06,,
7,1549,1.0,2.9205828013800783e-06,,
7,1599,1.0,1.341093138762517e-06,,
7,1623,,,1.0,8.082648128038272e-05
8,1649,1.0,1.0132716852240264e-06,,
8,1699,1.0,2.7567131155592506e-07,,
8,1749,1.0,9.387683235217992e-07,,
8,1799,1.0,4.917378646496218e-07,,
8,1826,,,1.0,3.294232783446205e-06
9,1849,1.0,3.725185024450184e-06,,
9,1899,1.0,9.685750512744562e-08,,
9,1949,1.0,2.0414306618476985e-06,,
9,1999,1.0,5.289905402605655e-07,,
9,2029,,,1.0,1.1340262062731199e-05
10,2049,1.0,7.807947440596763e-06,,
10,2099,1.0,7.450579175838357e-08,,
10,2149,1.0,9.313192776971846e-07,,
10,2199,1.0,2.5331934239147813e-07,,
10,2232,,,1.0,2.310849140485516e-06
11,2249,1.0,1.2665974225001264e-07,,
11,2299,1.0,2.2351740014414645e-08,,
11,2349,1.0,0.0,,
11,2399,1.0,7.450579175838357e-08,,
11,2435,,,1.0,3.6398052998265484e-06
12,2449,1.0,1.4901160305669237e-08,,
12,2499,1.0,0.0,,
12,2549,1.0,1.4901160305669237e-08,,
12,2599,1.0,1.9371501025489124e-07,,
12,2638,,,1.0,2.4511086849088315e-06
13,2649,1.0,9.685680879556458e-07,,
13,2699,1.0,2.980227407078928e-07,,
13,2749,1.0,8.195632972274325e-08,,
13,2799,1.0,5.215404996761208e-08,,
13,2841,,,1.0,1.0860416068680934e-06
14,2849,1.0,8.195636524988004e-08,,
14,2899,1.0,1.1175863079415649e-07,,
14,2949,1.0,1.8626440123625798e-07,,
14,2999,1.0,5.960463056453591e-08,,
14,3044,,,1.0,1.0400713108538184e-06
