epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,1.0,0.0,,
0,99,1.0,0.0,,
0,149,1.0,0.0,,
0,199,1.0,0.0,,
0,202,,,1.0,1.9537022666327175e-08
1,249,1.0,0.0,,
1,299,1.0,0.0,,
1,349,1.0,0.0,,
1,399,1.0,0.0,,
1,405,,,1.0,2.3179578256815603e-09
2,449,1.0,0.0,,
2,499,1.0,5.662415674123622e-07,,
2,549,1.0,0.0,,
2,599,1.0,0.0,,
2,608,,,1.0,6.291597465235554e-09
3,649,1.0,0.0,,
3,699,1.0,0.0,,
3,749,1.0,0.0,,
3,799,1.0,0.0,,
3,811,,,1.0,1.9868209300000217e-09
4,849,1.0,0.0,,
4,899,1.0,7.450580152834618e-09,,
4,949,1.0,0.0,,
4,999,1.0,0.0,,
4,1014,,,1.0,2.3841806751079275e-08
5,1049,1.0,0.0,,
5,1099,1.0,0.0,,
5,1149,1.0,0.0,,
5,1199,1.0,0.0,,
5,1217,,,1.0,3.708709783722952e-08
6,1249,1.0,0.0,,
6,1299,1.0,0.0,,
6,1349,1.0,0.0,,
6,1399,1.0,0.0,,
6,1420,,,1.0,4.9670516588662394e-09
7,1449,1.0,0.0,,
7,1499,1.0,0.0,,
7,1549,1.0,0.0,,
7,1599,1.0,0.0,,
7,1623,,,1.0,2.1523819171420655e-08
8,1649,1.0,0.0,,
8,1699,1.0,0.0,,
8,1749,1.0,0.0,,
8,1799,1.0,0.0,,
8,1826,,,1.0,2.4504043238948725e-08
9,1849,1.0,0.0,,
9,1899,1.0,0.0,,
9,1949,1.0,0.0,,
9,1999,1.0,0.0,,
9,2029,,,1.0,1.3245475827261544e-09
10,2049,1.0,0.0,,
10,2099,1.0,0.0,,
10,2149,1.0,0.0,,
10,2199,1.0,0.0,,
10,2232,,,1.0,3.311368956815386e-10
11,2249,1.0,0.0,,
11,2299,1.0,0.0,,
11,2349,1.0,0.0,,
11,2399,1.0,0.0,,
11,2435,,,1.0,0.0
12,2449,1.0,0.0,,
12,2499,1.0,0.0,,
12,2549,1.0,0.0,,
12,2599,1.0,0.0,,
12,2638,,,1.0,0.0
13,2649,1.0,0.0,,
13,2699,1.0,0.0,,
13,2749,1.0,0.0,,
13,2799,1.0,0.0,,
13,2841,,,1.0,1.9868209300000217e-09
14,2849,1.0,0.0,,
14,2899,1.0,0.0,,
14,2949,1.0,0.0,,
14,2999,1.0,0.0,,
14,3044,,,1.0,0.0
